feature,coef,abs_coef
cat__title_group_Master,1.8830651687326112,1.8830651687326112
cat__cabin_deck_D,1.3535716083894112,1.3535716083894112
cat__Sex_female,1.3415431596207958,1.3415431596207958
cat__cabin_deck_E,1.1240607118234476,1.1240607118234476
cat__cabin_deck_T,-1.0742485325333304,1.0742485325333304
cat__title_group_Mr,-0.9857747772499842,0.9857747772499842
cat__Sex_male,-0.8957967105845477,0.8957967105845477
cat__cabin_deck_Unknown,-0.7499662442706124,0.7499662442706124
cat__Pclass_1,0.7137008420699337,0.7137008420699337
cat__cabin_deck_G,-0.6517068585578856,0.6517068585578856
num__Fare,0.6465549564636166,0.6465549564636166
cat__Pclass_3,-0.5589298804544481,0.5589298804544481
cat__Embarked_Q,0.4609368880642346,0.4609368880642346
num__Age,-0.4441128970262315,0.4441128970262315
num__fare_per_person,-0.37376503818652307,0.37376503818652307
cat__title_group_Miss,-0.37075651438854074,0.37075651438854074
cat__is_alone_0,0.3389778657850953,0.3389778657850953
num__SibSp,-0.32080199316472086,0.32080199316472086
cat__cabin_deck_F,0.3071299482820574,0.3071299482820574
cat__Pclass_2,0.2909754874205362,0.2909754874205362
num__family_size,-0.2599462438173624,0.2599462438173624
num__cabin_score,0.23608062155456724,0.23608062155456724
cat__cabin_deck_A,0.22743782026045478,0.22743782026045478
num__ticket_group_size,-0.2175746185008046,0.2175746185008046
cat__Embarked_S,-0.20497851836604503,0.20497851836604503
num__name_length,0.19181647089834764,0.19181647089834764
cat__Embarked_C,0.18978807933807293,0.18978807933807293
cat__title_group_Other,-0.17666079543960153,0.17666079543960153
cat__is_alone_1,0.10676858325101286,0.10676858325101286
cat__title_group_Mrs,0.09587336738172614,0.09587336738172614
cat__cabin_deck_B,-0.09135460487536529,0.09135460487536529
num__Parch,-0.0892964334701585,0.0892964334701585
num__name_word_count,-0.0413006646651509,0.0413006646651509
num__cabin_room_number,-0.010000250639875552,0.010000250639875552
cat__cabin_deck_C,0.0008226005182152205,0.0008226005182152205
num__age_fare_ratio,0.0004543865136987974,0.0004543865136987974
