Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,name_length,title,title_group,family_size,is_alone,ticket_group_size,fare_per_person,age_fare_ratio,cabin_deck,cabin_room_number,cabin_score,name_word_count,Survived
1,female,35.0,1,0,90.0,S,47,Mrs,Mrs,2,0,2,45.0,0.3888888888888889,C,93.0,9.173135754622429,7,1
2,male,19.0,0,0,10.5,S,31,Mr,Mr,1,1,1,10.5,1.809523809523809,Unknown,,9.06472110964547,4,0
2,male,34.0,0,0,13.0,S,28,Mr,Mr,1,1,1,13.0,2.6153846153846154,Unknown,,2.131047040250833,4,0
3,female,4.0,0,2,22.025,S,35,Miss,Miss,3,0,1,22.025,0.1816118047673099,Unknown,,1.1483682473920354,4,1
2,female,21.0,0,0,10.5,S,17,Miss,Miss,1,1,1,10.5,2.0,Unknown,,3.922440450997323,3,1
1,male,19.0,1,0,53.1,S,25,Mr,Mr,2,0,1,53.1,0.3578154425612053,D,30.0,0.6420893707513409,4,0
3,female,41.0,0,5,39.6875,S,38,Mrs,Mrs,6,0,6,6.615,1.0330708661417325,Unknown,,8.505817290942419,6,0
3,male,30.0,1,0,16.1,S,24,Mr,Mr,2,0,2,8.05,1.8633540372670805,Unknown,,7.43946292572677,4,0
3,female,,0,2,15.2458,C,29,Mrs,Mrs,3,0,2,7.623,0.0,Unknown,,0.8692028808742369,4,0
2,male,57.0,0,0,12.35,Q,30,Rev,Other,1,1,1,12.35,4.615384615384616,Unknown,,8.512069140487688,4,0
2,male,24.0,0,0,10.5,S,33,Mr,Mr,1,1,1,10.5,2.2857142857142856,Unknown,,2.322126951468173,5,0
3,male,61.0,0,0,6.2375,S,25,Mr,Mr,1,1,1,6.238,9.779559118236474,Unknown,,9.148459010681,4,0
3,female,38.0,1,5,31.3875,S,57,Mrs,Mrs,7,0,4,7.847,1.210673038630028,Unknown,,9.44765729882428,8,1
3,male,21.0,0,0,8.4333,S,30,Mr,Mr,1,1,1,8.433,2.490128419479919,Unknown,,3.351188542591419,4,0
1,male,49.0,1,0,89.1042,C,24,Mr,Mr,2,0,2,44.552,0.5499179612184386,C,92.0,3.8929561404197655,4,1
1,male,32.0,0,0,30.5,C,25,Dr,Other,1,1,1,30.5,1.0491803278688523,B,50.0,6.780161525590636,3,1
2,male,30.0,0,0,13.0,S,26,Mr,Mr,1,1,1,13.0,2.3076923076923075,Unknown,,6.334782198261473,4,0
